model_file	model_id	species	strain	sha256	source	redistributed	model_name	compartments	metadata_status
Alistipes_onderdonkii_DSM_19147.xml	M_Alistipes_onderdonkii_DSM_19147	Alistipes onderdonkii	DSM 19147	0ecbe0ca330b6e069455dde950b63eae5068e973d6434c9ea6cd81d444d40359	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Alistipes onderdonkii DSM 19147	c; e; p	automatic draft; verify species, strain, source, and redistribution before publication
Alistipes_onderdonkii_ERR1022348.xml	M_Alistipes_onderdonkii_ERR1022348	Alistipes onderdonkii	ERR1022348	a007677bf437fabba7686ffbc8e6eb4b4a23693c36f5c96df7de364f973b130e	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Alistipes onderdonkii ERR1022348	c; e; p	automatic draft; verify species, strain, source, and redistribution before publication
Alistipes_onderdonkii_ERR1022461.xml	M_Alistipes_onderdonkii_ERR1022461	Alistipes onderdonkii	ERR1022461	08025d05dfa8413b7c3a29b027a93ea09cd74f0bb6017a0c314d7add27d024bb	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Alistipes onderdonkii ERR1022461	c; e; p	automatic draft; verify species, strain, source, and redistribution before publication
Alistipes_onderdonkii_ERR1203947.xml	M_Alistipes_onderdonkii_ERR1203947	Alistipes onderdonkii	ERR1203947	af666118b316e8f6ce7890f83dcce63bb528e5660960e4f4ea3bd753d8840dd9	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Alistipes onderdonkii ERR1203947	c; e; p	automatic draft; verify species, strain, source, and redistribution before publication
Alistipes_onderdonkii_ERR1204041.xml	M_Alistipes_onderdonkii_ERR1204041	Alistipes onderdonkii	ERR1204041	5c6af7b1e16b8edec0ed8e8f64fb804a7188bb4d3c46b921f7b570c14e8d7af1	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Alistipes onderdonkii ERR1204041	c; e; p	automatic draft; verify species, strain, source, and redistribution before publication
Alistipes_onderdonkii_ERR2221102.xml	M_Alistipes_onderdonkii_ERR2221102	Alistipes onderdonkii	ERR2221102	3bc48c91759e6c95bee6151de8284ad3d481d1e4616af48e80ffab96a5c6e76a	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Alistipes onderdonkii ERR2221102	c; e; p	automatic draft; verify species, strain, source, and redistribution before publication
Alistipes_onderdonkii_ERR2230089.xml	M_Alistipes_onderdonkii_ERR2230089	Alistipes onderdonkii	ERR2230089	93bf9feab21a6d9fa4b3a2a23221e0d36670a65a955b7270313fa814ef535949	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Alistipes onderdonkii ERR2230089	c; e; p	automatic draft; verify species, strain, source, and redistribution before publication
Alistipes_onderdonkii_ERR2230093.xml	M_Alistipes_onderdonkii_ERR2230093	Alistipes onderdonkii	ERR2230093	ceb48788febae821ee203e1eb0115c142a626542b6757b622aa50c6b0c3c3bee	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Alistipes onderdonkii ERR2230093	c; e; p	automatic draft; verify species, strain, source, and redistribution before publication
Alistipes_sp_AL_1.xml	M_Alistipes_sp_AL_1	Alistipes sp	AL 1	58bf430cafdaa8f684c588538843cec352c28cfb300f4712e947ca1910602a49	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Alistipes sp AL 1	c; e; p	automatic draft; verify species, strain, source, and redistribution before publication
Bacteroides_ovatus_ERR1203959.xml	M_Bacteroides_ovatus_ERR1203959	Bacteroides ovatus	ERR1203959	2f237bd39d666211146eb0b7ac30373e8d2eae977ec459b865fde70c0aa6e638	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Bacteroides ovatus ERR1203959	c; e; p	automatic draft; verify species, strain, source, and redistribution before publication
