donor_model_id	precursor_id	recipient_model_id	final_target_id
M_Ruminococcus_bicirculans_80_3	glu_L	M_Eubacterium_rectale_ATCC_33656	4abut
M_Ruminococcus_bicirculans_ERR1022350	glu_L	M_Eubacterium_rectale_ATCC_33656	4abut
M_Ruminococcus_bicirculans_80_3	ac	M_Eubacterium_rectale_ATCC_33656	but
M_Ruminococcus_bicirculans_ERR1022350	ac	M_Eubacterium_rectale_ATCC_33656	but
M_Ruminococcus_bromii_ATCC_27255	ac	M_Eubacterium_rectale_ATCC_33656	but
M_Ruminococcus_bicirculans_80_3	glu_L	M_Eubacterium_rectale_DSM_17629	4abut
M_Ruminococcus_bicirculans_ERR1022350	glu_L	M_Eubacterium_rectale_DSM_17629	4abut
M_Ruminococcus_bicirculans_80_3	ac	M_Eubacterium_rectale_DSM_17629	but
M_Ruminococcus_bicirculans_ERR1022350	ac	M_Eubacterium_rectale_DSM_17629	but
M_Ruminococcus_bromii_ATCC_27255	ac	M_Eubacterium_rectale_DSM_17629	but
