target_id	target	donor_species	precursor_id	precursor_name	recipient_species	literature_class	evidence_tier	literature_taxon	literature_strain	evidence_summary	citation	doi	url	screening_note
4abut	GABA	Alistipes onderdonkii	glu_L	L-glutamate	Alistipes sp	no_qualifying_direct_support	no_exact_species_release_evidence_found	Alistipes onderdonkii	WAL 8169T	The targeted primary-source screen did not find qualifying direct same-species or exact-strain release evidence for this precursor.	Song et al. 2006	10.1099/ijs.0.64318-0	https://pubmed.ncbi.nlm.nih.gov/16902041/	No qualifying direct support found is an evidence-gap label, not proof that the modeled donor cannot release the precursor.
4abut	GABA	Alistipes onderdonkii	glu_L	L-glutamate	Bacteroides ovatus	no_qualifying_direct_support	no_exact_species_release_evidence_found	Alistipes onderdonkii	WAL 8169T	The targeted primary-source screen did not find qualifying direct same-species or exact-strain release evidence for this precursor.	Song et al. 2006	10.1099/ijs.0.64318-0	https://pubmed.ncbi.nlm.nih.gov/16902041/	No qualifying direct support found is an evidence-gap label, not proof that the modeled donor cannot release the precursor.
4abut	GABA	Alistipes onderdonkii	glu_L	L-glutamate	Eubacterium rectale	no_qualifying_direct_support	no_exact_species_release_evidence_found	Alistipes onderdonkii	WAL 8169T	The targeted primary-source screen did not find qualifying direct same-species or exact-strain release evidence for this precursor.	Song et al. 2006	10.1099/ijs.0.64318-0	https://pubmed.ncbi.nlm.nih.gov/16902041/	No qualifying direct support found is an evidence-gap label, not proof that the modeled donor cannot release the precursor.
4abut	GABA	Alistipes sp	glu_L	L-glutamate	Alistipes onderdonkii	no_qualifying_direct_support	taxon_resolution_insufficient	Alistipes sp		The CANNEX donor is unresolved below genus level, so species- or strain-specific precursor-release evidence cannot be assigned.				Not a biological negative; direct evidence could not be matched at the taxonomic resolution required by the prespecified rule.
4abut	GABA	Alistipes sp	glu_L	L-glutamate	Bacteroides ovatus	no_qualifying_direct_support	taxon_resolution_insufficient	Alistipes sp		The CANNEX donor is unresolved below genus level, so species- or strain-specific precursor-release evidence cannot be assigned.				Not a biological negative; direct evidence could not be matched at the taxonomic resolution required by the prespecified rule.
4abut	GABA	Alistipes sp	glu_L	L-glutamate	Eubacterium rectale	no_qualifying_direct_support	taxon_resolution_insufficient	Alistipes sp		The CANNEX donor is unresolved below genus level, so species- or strain-specific precursor-release evidence cannot be assigned.				Not a biological negative; direct evidence could not be matched at the taxonomic resolution required by the prespecified rule.
4abut	GABA	Bacteroides ovatus	glu_L	L-glutamate	Alistipes onderdonkii	no_qualifying_direct_support	same_species_measurement_did_not_support	Bacteroides ovatus	3_8_47FAA; ATCC 8483	The same-species cultured-strain metabolomics resource did not provide qualifying extracellular release evidence for this exact precursor under the prespecified evidence rule.	Han et al. 2021	10.1038/s41586-021-03707-9	https://pubmed.ncbi.nlm.nih.gov/34262212/	No qualifying direct support found is an evidence-gap label, not proof that the modeled donor cannot release the precursor.
4abut	GABA	Bacteroides ovatus	glu_L	L-glutamate	Alistipes sp	no_qualifying_direct_support	same_species_measurement_did_not_support	Bacteroides ovatus	3_8_47FAA; ATCC 8483	The same-species cultured-strain metabolomics resource did not provide qualifying extracellular release evidence for this exact precursor under the prespecified evidence rule.	Han et al. 2021	10.1038/s41586-021-03707-9	https://pubmed.ncbi.nlm.nih.gov/34262212/	No qualifying direct support found is an evidence-gap label, not proof that the modeled donor cannot release the precursor.
4abut	GABA	Bacteroides ovatus	glu_L	L-glutamate	Eubacterium rectale	no_qualifying_direct_support	same_species_measurement_did_not_support	Bacteroides ovatus	3_8_47FAA; ATCC 8483	The same-species cultured-strain metabolomics resource did not provide qualifying extracellular release evidence for this exact precursor under the prespecified evidence rule.	Han et al. 2021	10.1038/s41586-021-03707-9	https://pubmed.ncbi.nlm.nih.gov/34262212/	No qualifying direct support found is an evidence-gap label, not proof that the modeled donor cannot release the precursor.
4abut	GABA	Bacteroides xylanisolvens	asn_L	L-asparagine	Bacteroides ovatus	no_qualifying_direct_support	no_exact_species_release_evidence_found	Bacteroides xylanisolvens	XB1AT (DSM 18836T)	The targeted primary-source screen did not find qualifying direct same-species or exact-strain release evidence for this precursor.	Chassard et al. 2008	10.1099/ijs.0.65504-0	https://pubmed.ncbi.nlm.nih.gov/18398210/	No qualifying direct support found is an evidence-gap label, not proof that the modeled donor cannot release the precursor.
