model_file	model_id	species	strain	sha256	source	redistributed	model_name	compartments	metadata_status
Clostridium_bolteae_90A5.xml	M_Clostridium_bolteae_90A5	Enterocloster bolteae	90A5	32883456f4b19344789bd4fbad387fcabbf6695028bfefdffba32ccf7bfffc57	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Clostridium bolteae 90A5	c; e	automatic draft; verify species, strain, source, and redistribution before publication
Clostridium_bolteae_90A9.xml	M_Clostridium_bolteae_90A9	Enterocloster bolteae	90A9	21bb7b1ff9ef7d9a79f42c08574ee6b2af1fe42984cfe722866cbdaad201036c	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Clostridium bolteae 90A9	c; e	automatic draft; verify species, strain, source, and redistribution before publication
Clostridium_bolteae_90B3.xml	M_Clostridium_bolteae_90B3	Enterocloster bolteae	90B3	cc039865efa06a325b31ad3b5a729da9c65e384f70145cdec5919eef6cff5f62	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Clostridium bolteae 90B3	c; e	automatic draft; verify species, strain, source, and redistribution before publication
Clostridium_bolteae_90B7.xml	M_Clostridium_bolteae_90B7	Enterocloster bolteae	90B7	9d09a10d03581c16c20e3f854b3025b91485d5e42ffa82822910521f6e989c93	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Clostridium bolteae 90B7	c; e	automatic draft; verify species, strain, source, and redistribution before publication
Clostridium_bolteae_90B8.xml	M_Clostridium_bolteae_90B8	Enterocloster bolteae	90B8	a4fe266e29514dea57bf12c38b59470889109f042f03806d5509d2014321e868	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Clostridium bolteae 90B8	c; e	automatic draft; verify species, strain, source, and redistribution before publication
Clostridium_bolteae_ATCC_BAA_613.xml	M_Clostridium_bolteae_ATCC_BAA_613	Enterocloster bolteae	ATCC BAA 613	8f34404621f64c766137036f601229067dd9000e55639c2a4507ff685a8c136d	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Clostridium bolteae ATCC BAA 613	c; e	automatic draft; verify species, strain, source, and redistribution before publication
Clostridium_bolteae_WAL_14578.xml	M_Clostridium_bolteae_WAL_14578	Enterocloster bolteae	WAL 14578	7caa5460276fa1ad06fa4e4c41f67d4a089e4f8dabebf2d0335facca76e4e71d	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Clostridium bolteae WAL 14578	c; e	automatic draft; verify species, strain, source, and redistribution before publication
Clostridium_clostridioforme_90A7.xml	M_Clostridium_clostridioforme_90A7	Enterocloster clostridioformis	90A7	1a5afbc06d9244b841bf2574b50bff374108dcff49a545a485c411b4a7f9ad08	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Clostridium clostridioforme 90A7	c; e	automatic draft; verify species, strain, source, and redistribution before publication
Clostridium_clostridioforme_YL32.xml	M_Clostridium_clostridioforme_YL32	Enterocloster clostridioformis	YL32	5c24dcb68e4ad51882e0e57ded7137656e991abd36f69f6b655dd0c2eb525471	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Clostridium clostridioforme YL32	c; e	automatic draft; verify species, strain, source, and redistribution before publication
Eubacterium_rectale_ATCC_33656.xml	M_Eubacterium_rectale_ATCC_33656	Agathobacter rectalis	ATCC 33656	7672d76c7e9cbd052045375836301470ea15c0a27196a39087604dc8567c2d73	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Eubacterium rectale ATCC 33656	c; e	automatic draft; verify species, strain, source, and redistribution before publication
Eubacterium_rectale_DSM_17629.xml	M_Eubacterium_rectale_DSM_17629	Agathobacter rectalis	DSM 17629	8f447836bfbae3a1add34756c9663e78802f5694a11e7e5ed70bd7d43a9d20e7	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Eubacterium rectale DSM 17629	c; e	automatic draft; verify species, strain, source, and redistribution before publication
Eubacterium_rectale_ERR1022318.xml	M_Eubacterium_rectale_ERR1022318	Agathobacter rectalis	ERR1022318	e2f981e8d720e903e054c50422b72a62a958cf79b5d793ea3f11e4df8d9f43ed	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Eubacterium rectale ERR1022318	c; e	automatic draft; verify species, strain, source, and redistribution before publication
Eubacterium_rectale_ERR1022399.xml	M_Eubacterium_rectale_ERR1022399	Agathobacter rectalis	ERR1022399	b2821c13a06eb0125c39f845d110dda2340d383f3c05f883d462c7e12aab0fd7	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Eubacterium rectale ERR1022399	c; e	automatic draft; verify species, strain, source, and redistribution before publication
Eubacterium_rectale_ERR1022482.xml	M_Eubacterium_rectale_ERR1022482	Agathobacter rectalis	ERR1022482	055b6715e7747e165d364e2dec17d9b39c9d6e9ff150e8f440aebbba3f83bba3	AGORA2-compatible SBML inferred from model annotation; annotation source: https://vmh.life/; verify database version and URL	not assessed; user must verify	Eubacterium rectale ERR1022482	c; e	automatic draft; verify species, strain, source, and redistribution before publication
